Key,English
attSorceryLightningRank6Desc,"• [ae92d5]+100%[-] Essence from Desert Biome and Lead Ore\n• Lightning Sorcery [ae92d5]30%[-] more powerful and [ae92d5]30%[-] faster\n"
attSorceryLightningRank7Desc,"• Crafting at an Lightning Spellforge is [ae92d5]35%[-] faster\n• Lightning Sorcery is now [ae92d5]35%[-] more powerful and [ae92d5]35%[-] faster\n"
attSorceryLightningRank8Desc,"• [ae92d5]+150%[-] Essence from Desert Biome and Lead Ore\n• Lightning Sorcery [ae92d5]40%[-] more powerful and [ae92d5]40%[-] faster\n"
attSorceryLightningRank9Desc,"• Crafting at an Lightning Spellforge is [ae92d5]45%[-] faster\n• Lightning Sorcery is now [ae92d5]45%[-] more powerful and [ae92d5]45%[-] faster\n"
attSorceryLightningRank10Desc,"• [ae92d5]+200%[-] Essence from Desert Biome and Lead Ore\n• Lightning Sorcery [ae92d5]50%[-] more powerful and [ae92d5]50%[-] faster\n"

perkSorceryAlchemyMasteryRank1Desc,"[d1d1d1]TRAINING[-] Alchemist\n• You are [d1d1d1]Training[-] to become an Alchemist:\n• Potions you consume now last [ae92d5]+10% Duration[-] longer"
perkSorceryAlchemyMasteryRank2Desc,"[2f9970]INITIATE[-] Alchemist\n• You are now an [2f9970]Initiate[-] Alchemist:\n• Learn to craft an [e3bb70][U]Enchanted Mortar[/U][-] to make concoctions on the go\n• Potions you consume gain [ae92d5]+20% Potency[-] strength\n• Potions you consume now last [ae92d5]+20% Duration[-] longer"
perkSorceryAlchemyMasteryRank3Desc,"[I]Novice Training[/I]\n• You're training to become a [36dc2a]Novice[-] Alchemist:\n• Potions you consume now last [ae92d5]+30% Duration[-] longer"
perkSorceryAlchemyMasteryRank4Desc,"[36dc2a]NOVICE[-] Alchemist\n• You are now a [36dc2a]Novice[-] Alchemist:\n• Learn to craft an [e3bb70][U]Alchemy Station[/U][-] to make advanced concoctions\n• Learn to concoct [36dc2a][U]Novice[/U][-] Potions using Mortar + Alchemy Station\n• Potions you consume gain [ae92d5]+40% Potency[-] strength\n• Potions you consume now last [ae92d5]+40% Duration[-] longer"
perkSorceryAlchemyMasteryRank5Desc,"[I]Adept Training[/I]\n• You're training to become an [407fff]Adept[-] Alchemist:\n• Potions you consume now last [ae92d5]+50% Duration[-] longer"
perkSorceryAlchemyMasteryRank6Desc,"[407fff]ADEPT[-] Alchemist\n• You are now an [407fff]Adept[-] Alchemist:\n• Learn to concoct [407fff][U]Adept[/U][-] Potions using Mortar + Alchemy Station\n• Potions you consume gain [ae92d5]+60% Potency[-] strength\n• Potions you consume now last [ae92d5]+60% Duration[-] longer"
perkSorceryAlchemyMasteryRank7Desc,"[I]Expert Training[/I]\n• You're training to become an [ba3fd0]Expert[-] Alchemist:\n• Potions you consume now last [ae92d5]+70% Duration[-] longer"
perkSorceryAlchemyMasteryRank8Desc,"[ba3fd0]EXPERT[-] Alchemist\n• You are now an [ba3fd0]Expert[-] Alchemist:\n• Learn to concoct [ba3fd0][U]Expert[/U][-] Potions using Mortar + Alchemy Station\n• Potions you consume gain [ae92d5]+80% Potency[-] strength\n• Potions you consume now last [ae92d5]+80% Duration[-] longer"
perkSorceryAlchemyMasteryRank9Desc,"[I]Master Training[/I]\n• You're training to become a [e60000]Master[-] Alchemist:\n• Potions you consume now last [ae92d5]+90% Duration[-] longer"
perkSorceryAlchemyMasteryRank10Desc,"[e60000]MASTER[-] Alchemist\n• You are now a [e60000]Master[-] Alchemist:\n• Learn to concoct [e60000][U]Master[/U][-] Potions using Mortar + Alchemy Station\n• Potions you consume gain [ae92d5]+100% Potency[-] strength\n• Potions you consume now last [ae92d5]+100% Duration[-] longer\n• You boost Alchemy Potency of nearby [ae92d5]Allies[-]"

perkSorceryEssenceMasteryRank1Desc,"[d1d1d1]TRAINING[-] Empath\n• You are [d1d1d1]Training[-] to become an Empath:\n• You find and harvest [ae92d5]125% Essence[-] from all sources"
perkSorceryEssenceMasteryRank2Desc,"[2f9970]INITIATE[-] Empath\n• You are now an [2f9970]Initiate[-] Empath:\n• Gain [ae92d5]+50% Bonus[-] Essence in respective Element's Biome\n• You find and harvest [ae92d5]150% Essence[-] from all sources"
perkSorceryEssenceMasteryRank3Desc,"[I]Novice Training[/I]\n• You're training to become a [36dc2a]Novice[-] Empath:\n• You find and harvest [ae92d5]175% Essence[-] from all sources"
perkSorceryEssenceMasteryRank4Desc,"[36dc2a]NOVICE[-] Empath\n• You are now a [36dc2a]Novice[-] Empath:\n• You now sense and discover [ae92d5]Hidden Essence[-] of all types\n• Gain [ae92d5]+100% Bonus[-] Essence in respective Element's Biome\n• You find and harvest [ae92d5]200% Essence[-] from all sources"
perkSorceryEssenceMasteryRank5Desc,"[I]Adept Training[/I]\n• You're training to become an [407fff]Adept[-] Empath:\n• You find and harvest [ae92d5]225% Essence[-] from all sources"
perkSorceryEssenceMasteryRank6Desc,"[407fff]ADEPT[-] Empath\n• You are now an [407fff]Adept[-] Empath:\n• Discover [ae92d5]+50% Hidden[-] Essence of all types\n• Gain [ae92d5]+150% Bonus[-] Essence in respective Element's Biome\n• You find and harvest [ae92d5]250% Essence[-] from all sources"
perkSorceryEssenceMasteryRank7Desc,"[I]Expert Training[/I]\n• You're training to become an [ba3fd0]Expert[-] Empath:\n• You find and harvest [ae92d5]275% Essence[-] from all sources"
perkSorceryEssenceMasteryRank8Desc,"[ba3fd0]EXPERT[-] Empath\n• You are now an [ba3fd0]Expert[-] Empath:\n• Discover [ae92d5]+100% Hidden[-] Essence of all types\n• Gain [ae92d5]+200% Bonus[-] Essence in respective Element's Biome\n• You find and harvest [ae92d5]300% Essence[-] from all sources"
perkSorceryEssenceMasteryRank9Desc,"[I]Master Training[/I]\n• You're training to become a [e60000]Master[-] Empath:\n• You find and harvest [ae92d5]325% Essence[-] from all sources"
perkSorceryEssenceMasteryRank10Desc,"[e60000]MASTER[-] Empath\n• You are now a [e60000]Master[-] Empath:\n• Discover [ae92d5]+150% Hidden[-] Essence of all types\n• Gain [ae92d5]+250% Bonus[-] Essence in respective Element's Biome\n• You find and harvest [ae92d5]350% Essence[-] from all sources\n• You boost Essence Find of nearby [ae92d5]Allies[-]"

perkSorceryMageArmorMasteryRank1Desc,"[d1d1d1]TRAINING[-] Tailor\n• You are [d1d1d1]Training[-] to become a Tailor:\n• Gain [ae92d5]+.2% Damage Reduction[-] per Sorcerer Armor piece"
perkSorceryMageArmorMasteryRank2Desc,"[2f9970]INITIATE[-] Tailor\n• You are now an [2f9970]Initiate[-] Tailor:\n• Learn to craft an [e3bb70][U]Arcane Wheel[/U][-] at a Sorcerer Desk\n• Craft Sorcerer Armors [ae92d5]+10% Faster[-] at an Arcane Wheel\n• Absorb [ae92d5]+.2 Spirit[-] per Sorcerer Armor piece when attacked\n• Gain [ae92d5]+.5% Damage Reduction[-] per Sorcerer Armor piece"
perkSorceryMageArmorMasteryRank3Desc,"[I]Novice Training[/I]\n• You're training to become a [36dc2a]Novice[-] Tailor:\n• Gain [ae92d5]+.6% Damage Reduction[-] per Sorcerer Armor piece"
perkSorceryMageArmorMasteryRank4Desc,"[36dc2a]NOVICE[-] Tailor\n• You are now a [36dc2a]Novice[-] Tailor:\n• Craft Sorcerer Armors [ae92d5]+20% Faster[-] at an Arcane Wheel\n• Absorb [ae92d5]+.4 Spirit[-] per Sorcerer Armor piece when attacked\n• Gain [ae92d5]+.9% Damage Reduction[-] per Sorcerer Armor piece"
perkSorceryMageArmorMasteryRank5Desc,"[I]Adept Training[/I]\n• You're training to become an [407fff]Adept[-] Tailor:\n• Gain [ae92d5]+1.0% Damage Reduction[-] per Sorcerer Armor piece"
perkSorceryMageArmorMasteryRank6Desc,"[407fff]ADEPT[-] Tailor\n• You are now an [407fff]Adept[-] Tailor:\n• Learn to craft [e3bb70][U]All Threads[/U][-] at an Arcane Wheel\n• Craft Sorcerer Armors [ae92d5]+30% Faster[-] at an Arcane Wheel\n• Absorb [ae92d5]+.6 Spirit[-] per Sorcerer Armor piece when attacked\n• Gain [ae92d5]+1.3% Damage Reduction[-] per Sorcerer Armor piece"
perkSorceryMageArmorMasteryRank7Desc,"[I]Expert Training[/I]\n• You're training to become an [ba3fd0]Expert[-] Tailor:\n• Gain [ae92d5]+1.4% Damage Reduction[-] per Sorcerer Armor piece"
perkSorceryMageArmorMasteryRank8Desc,"[ba3fd0]EXPERT[-] Tailor\n• You are now an [ba3fd0]Expert[-] Tailor:\n• Craft Sorcerer Armors [ae92d5]+40% Faster[-] at an Arcane Wheel\n• Absorb [ae92d5]+.8 Spirit[-] per Sorcerer Armor piece when attacked\n• Gain [ae92d5]+1.7% Damage Reduction[-] per Sorcerer Armor piece"
perkSorceryMageArmorMasteryRank9Desc,"[I]Master Training[/I]\n• You're training to become a [e60000]Master[-] Tailor:\n• Gain [ae92d5]+2.0% Damage Reduction[-] per Sorcerer Armor piece"
perkSorceryMageArmorMasteryRank10Desc,"[e60000]MASTER[-] Tailor\n• You are now a [e60000]Master[-] Tailor:\n• Craft Sorcerer Armors [ae92d5]+50% Faster[-] at an Arcane Wheel\n• Absorb [ae92d5]+1.0 Spirit[-] per Sorcerer Armor piece when attacked\n• Gain [ae92d5]+2.3% Damage Reduction[-] per Sorcerer Armor piece"

perkSorceryMageCraftMasteryRank1Desc,"[d1d1d1]TRAINING[-] Architect\n• You are [d1d1d1]Training[-] to become an Architect:\n• Learn to craft [e3bb70][U]Spell Block Frames[/U][-] at a Sorcerer Desk\n• Spell Blocks require [ae92d5]-5% Extract[-] less to craft"
perkSorceryMageCraftMasteryRank2Desc,"[2f9970]INITIATE[-] Architect\n• You are now an [2f9970]Initiate[-] Architect:\n• Craft Spell Blocks [ae92d5]+10% Faster[-] at a Sorcerer Desk\n• Spell Blocks require [ae92d5]-10% Rock, Clay[-] less to craft\n• Spell Blocks require [ae92d5]-10% Extract[-] less to craft"
perkSorceryMageCraftMasteryRank3Desc,"[I]Novice Training[/I]\n• You're training to become a [36dc2a]Novice[-] Architect:\n• Spell Blocks require [ae92d5]-15% Extract[-] less to craft"
perkSorceryMageCraftMasteryRank4Desc,"[36dc2a]NOVICE[-] Architect\n• You are now a [36dc2a]Novice[-] Architect:\n• You can now [e3bb70][U]Pickup[/U][-] Spell Blocks while [I]Crouching[/I]\n• Craft Spell Blocks [ae92d5]+20% Faster[-] at a Sorcerer Desk\n• Spell Blocks require [ae92d5]-20% Rock, Clay[-] less to craft\n• Spell Blocks require [ae92d5]-20% Extract[-] less to craft"
perkSorceryMageCraftMasteryRank5Desc,"[I]Adept Training[/I]\n• You're training to become an [407fff]Adept[-] Architect:\n• Spell Blocks require [ae92d5]-25% Extract[-] less to craft"
perkSorceryMageCraftMasteryRank6Desc,"[407fff]ADEPT[-] Architect\n• You are now an [407fff]Adept[-] Architect:\n• Learn to craft [e3bb70][U]Spell Blocks[/U][-] at a Sorcerer Desk\n• Craft Spell Blocks [ae92d5]+30% Faster[-] at a Sorcerer Desk\n• Spell Blocks require [ae92d5]-30% Rock, Clay[-] less to craft\n• Spell Blocks require [ae92d5]-30% Extract[-] less to craft"
perkSorceryMageCraftMasteryRank7Desc,"[I]Expert Training[/I]\n• You're training to become an [ba3fd0]Expert[-] Architect:\n• Spell Blocks require [ae92d5]-35% Extract[-] less to craft"
perkSorceryMageCraftMasteryRank8Desc,"[ba3fd0]EXPERT[-] Architect\n• You are now an [ba3fd0]Expert[-] Architect:\n• Craft Spell Blocks [ae92d5]+40% Faster[-] at a Sorcerer Desk\n• Spell Blocks require [ae92d5]-40% Rock, Clay[-] less to craft\n• Spell Blocks require [ae92d5]-40% Extract[-] less to craft"
perkSorceryMageCraftMasteryRank9Desc,"[I]Master Training[/I]\n• You're training to become a [e60000]Master[-] Architect:\n• Spell Blocks require [ae92d5]-45% Extract[-] less to craft"
perkSorceryMageCraftMasteryRank10Desc,"[e60000]MASTER[-] Architect\n• You are now a [e60000]Master[-] Architect:\n• Craft Spell Blocks [ae92d5]+50% Faster[-] at a Sorcerer Desk\n• Spell Blocks require [ae92d5]-50% Rock, Clay[-] less to craft\n• Spell Blocks require [ae92d5]-50% Extract[-] less to craft"

perkSorceryMageTrapMasteryRank1Desc,"[d1d1d1]TRAINING[-] Trapper\n• You are [d1d1d1]Training[-] to become a Trapper:\n• Trapped foes are slowed by [ae92d5]-15% Mobility[-]\n• Spell Traps require [ae92d5]-5% Extract[-] less to craft"
perkSorceryMageTrapMasteryRank2Desc,"[2f9970]INITIATE[-] Trapper\n• You are now an [2f9970]Initiate[-] Trapper:\n• Craft Spell Traps [ae92d5]+10% Faster[-] at a Sorcerer Desk\n• Trapped foes are slowed by [ae92d5]-20% Mobility[-]\n• Spell Traps require [ae92d5]-10% Rock, Clay[-] less to craft\n• Spell Traps require [ae92d5]-10% Extract[-] less to craft"
perkSorceryMageTrapMasteryRank3Desc,"[I]Novice Training[/I]\n• You're training to become a [36dc2a]Novice[-] Trapper:\n• Trapped foes are slowed by [ae92d5]-25% Mobility[-]\n• Spell Traps require [ae92d5]-15% Extract[-] less to craft"
perkSorceryMageTrapMasteryRank4Desc,"[36dc2a]NOVICE[-] Trapper\n• You are now a [36dc2a]Novice[-] Trapper:\n• You can now [e3bb70][U]Pickup[/U][-] Spell Traps while Crouching\n• Craft Spell Traps [ae92d5]+20% Faster[-] at a Sorcerer Desk\n• Trapped foes are slowed by [ae92d5]-30% Mobility[-]\n• Spell Traps require [ae92d5]-20% Rock, Clay[-] less to craft\n• Spell Traps require [ae92d5]-20% Extract[-] less to craft"
perkSorceryMageTrapMasteryRank5Desc,"[I]Adept Training[/I]\n• You're training to become an [407fff]Adept[-] Trapper:\n• Trapped foes are slowed by [ae92d5]-35% Mobility[-]\n• Spell Traps require [ae92d5]-25% Extract[-] less to craft"
perkSorceryMageTrapMasteryRank6Desc,"[407fff]ADEPT[-] Trapper\n• You are now an [407fff]Adept[-] Trapper:\n• Craft Spell Traps [ae92d5]+30% Faster[-] at a Sorcerer Desk\n• Trapped foes are slowed by [ae92d5]-40% Mobility[-]\n• Spell Traps require [ae92d5]-30% Rock, Clay[-] less to craft\n• Spell Traps require [ae92d5]-30% Extract[-] less to craft"
perkSorceryMageTrapMasteryRank7Desc,"[I]Expert Training[/I]\n• You're training to become an [ba3fd0]Expert[-] Trapper:\n• Trapped foes are slowed by [ae92d5]-45% Mobility[-]\n• Spell Traps require [ae92d5]-35% Extract[-] less to craft"
perkSorceryMageTrapMasteryRank8Desc,"[ba3fd0]EXPERT[-] Trapper\n• You are now an [ba3fd0]Expert[-] Trapper:\n• Craft Spell Traps [ae92d5]+40% Faster[-] at a Sorcerer Desk\n• Trapped foes are slowed by [ae92d5]-50% Mobility[-]\n• Spell Traps require [ae92d5]-40% Rock, Clay[-] less to craft\n• Spell Traps require [ae92d5]-40% Extract[-] less to craft"
perkSorceryMageTrapMasteryRank9Desc,"[I]Master Training[/I]\n• You're training to become a [e60000]Master[-] Trapper:\n• Trapped foes are slowed by [ae92d5]-55% Mobility[-]\n• Spell Traps require [ae92d5]-45% Extract[-] less to craft"
perkSorceryMageTrapMasteryRank10Desc,"[e60000]MASTER[-] Trapper\n• You are now a [e60000]Master[-] Trapper:\n• Craft Spell Traps [ae92d5]+50% Faster[-] at a Sorcerer Desk\n• Trapped foes are slowed by [ae92d5]-60% Mobility[-]\n• Spell Traps require [ae92d5]-50% Rock, Clay[-] less to craft\n• Spell Traps require [ae92d5]-50% Extract[-] less to craft"

perkSorcerySummonFamiliarMasteryRank1Desc,"[d1d1d1]TRAINING[-] Familiar Summoner\n• You are [d1d1d1]Training[-] to become a Familiar Summoner:\n• Your Familiars now last [ae92d5]+20% Duration[-] longer"
perkSorcerySummonFamiliarMasteryRank2Desc,"[2f9970]INITIATE[-] Familiar Summoner\n• You are now an [2f9970]Initiate[-] Familiar Summoner:\n• Your Familiars gain [ae92d5]+25 Max Health[-]\n• Your Familiars now last [ae92d5]+40% Duration[-] longer"
perkSorcerySummonFamiliarMasteryRank3Desc,"[I]Novice Training[/I]\n• You're training to become a [36dc2a]Novice[-] Familiar Summoner:\n• Your Familiars now last [ae92d5]+60% Duration[-] longer"
perkSorcerySummonFamiliarMasteryRank4Desc,"[36dc2a]NOVICE[-] Familiar Summoner\n• You are now a [36dc2a]Novice[-] Familiar Summoner:\n• Your Familiars gain [ae92d5]+50 Max Health[-]\n• Your Familiars now last [ae92d5]+80% Duration[-] longer"
perkSorcerySummonFamiliarMasteryRank5Desc,"[I]Adept Training[/I]\n• You're training to become an [407fff]Adept[-] Familiar Summoner:\n• Your Familiars now last [ae92d5]+100% Duration[-] longer"
perkSorcerySummonFamiliarMasteryRank6Desc,"[407fff]ADEPT[-] Familiar Summoner\n• You are now an [407fff]Adept[-] Familiar Summoner:\n• Your Familiars gain [ae92d5]+75 Max Health[-]\n• Your Familiars now last [ae92d5]+120% Duration[-] longer"
perkSorcerySummonFamiliarMasteryRank7Desc,"[I]Expert Training[/I]\n• You're training to become an [ba3fd0]Expert[-] Familiar Summoner:\n• Your Familiars now last [ae92d5]+140% Duration[-] longer"
perkSorcerySummonFamiliarMasteryRank8Desc,"[ba3fd0]EXPERT[-] Familiar Summoner\n• You are now an [ba3fd0]Expert[-] Familiar Summoner:\n• Your Familiars gain [ae92d5]+100 Max Health[-]\n• Your Familiars now last [ae92d5]+160% Duration[-] longer"
perkSorcerySummonFamiliarMasteryRank9Desc,"[I]Master Training[/I]\n• You're training to become a [e60000]Master[-] Familiar Summoner:\n• Your Familiars now last [ae92d5]+180% Duration[-] longer"
perkSorcerySummonFamiliarMasteryRank10Desc,"[e60000]MASTER[-] Familiar Summoner\n• You are now a [e60000]Master[-] Familiar Summoner:\n• Learn to craft [e3bb70][U]Spellbook: Summon Familiars[/U][-] at a Sorcerer Desk\n• Your Familiars gain [ae92d5]+150 Max Health[-]\n• Your Familiars now last [ae92d5]+200% Duration[-] longer"

perkSorceryScrollMasteryRank1Desc,"[d1d1d1]TRAINING[-] Scholar\n• You are [d1d1d1]Training[-] to become a Scholar:\n• Your Scrolls now last [ae92d5]+10% Duration[-] longer"
perkSorceryScrollMasteryRank2Desc,"[2f9970]INITIATE[-] Scholar\n• You are now an [2f9970]Initiate[-] Scholar:\n• Learn to craft [b1b1b1][U]Common[/U][-] Scrolls at a Sorcerer Desk\n• Craft Scrolls [ae92d5]+10% Faster[-] at a Sorcerer Desk\n• Your Scrolls now last [ae92d5]+20% Duration[-] longer"
perkSorceryScrollMasteryRank3Desc,"[I]Novice Training[/I]\n• You're training to become a [36dc2a]Novice[-] Scholar:\n• Your Scrolls now last [ae92d5]+30% Duration[-] longer"
perkSorceryScrollMasteryRank4Desc,"[36dc2a]NOVICE[-] Scholar\n• You are now a [36dc2a]Novice[-] Scholar:\n• Craft Scrolls [ae92d5]+20% Faster[-] at a Sorcerer Desk\n• Your Scrolls now last [ae92d5]+40% Duration[-] longer"
perkSorceryScrollMasteryRank5Desc,"[I]Adept Training[/I]\n• You're training to become an [407fff]Adept[-] Scholar:\n• Your Scrolls now last [ae92d5]+50% Duration[-] longer"
perkSorceryScrollMasteryRank6Desc,"[407fff]ADEPT[-] Scholar\n• You are now an [407fff]Adept[-] Scholar:\n• Learn to craft [d7dce4][U]Rare (Silver)[/U][-] Scrolls at a Sorcerer Desk\n• Craft Scrolls [ae92d5]+30% Faster[-] at a Sorcerer Desk\n• Your Scrolls now last [ae92d5]+60% Duration[-] longer"
perkSorceryScrollMasteryRank7Desc,"[I]Expert Training[/I]\n• You're training to become an [ba3fd0]Expert[-] Scholar:\n• Your Scrolls now last [ae92d5]+70% Duration[-] longer"
perkSorceryScrollMasteryRank8Desc,"[ba3fd0]EXPERT[-] Scholar\n• You are now an [ba3fd0]Expert[-] Scholar:\n• Craft Scrolls [ae92d5]+40% Faster[-] at a Sorcerer Desk\n• Your Scrolls now last [ae92d5]+80% Duration[-] longer"
perkSorceryScrollMasteryRank9Desc,"[I]Master Training[/I]\n• You're training to become a [e60000]Master[-] Scholar:\n• Your Scrolls now last [ae92d5]+90% Duration[-] longer"
